symbol,roe_change,tagrt_change,workcap_change,eps_change
SHSE.601088_2018q4,-1.1718,-0.154,-4165001216,0.431
SHSE.601138_2018q4,5.6035,-14.9328,7372836864,0.37
SZSE.000768_2018q4,1.5426,3.024,1146412032,0.1177
SHSE.600703_2018q4,-3.0153,-2.1133,-386389504,0.05
SHSE.600705_2018q4,0.2117,-5.7595,-786875392,0.1
SHSE.601155_2018q4,22.4142,-13.519,7337230336,3.29
SZSE.000776_2018q4,-1.3619,-3.8355,0,0.02
SHSE.600655_2018q4,5.9017,-14.8511,4061734912,0.526
SHSE.600660_2018q4,-0.9451,-4.7999,-1775857664,0.34
SHSE.601211_2018q4,-0.5681,-5.5982,0,0.12
SZSE.000783_2018q4,-1.9037,-4.8163,0,-0.05
SHSE.601162_2018q4,-0.5251,17.7364,0,0.007
SHSE.601212_2018q4,3.6135,26.0071,-3719229312,0.039
SHSE.600663_2018q4,2.2038,18.3775,-872580608,0.3573
SZSE.000786_2018q4,-2.2615,-4.789,155793920,0.296
SHSE.601166_2018q4,-1.8765,2.1292,0,0.49
SHSE.601216_2018q4,-0.8357,-4.645,-948669440,0.0493
SHSE.601169_2018q4,-1.5104,4.2646,0,0.15
SHSE.600674_2018q4,-0.7893,-0.4957,601195264,0.1815
SHSE.601225_2018q4,-1.9233,7.9796,-1609609216,0.21
SHSE.600733_2018q4,-0.133,-20.1914,-998144000,-0.0033
SHSE.601229_2018q4,-0.926,3.0114,0,0.25
SHSE.600690_2018q4,-3.3063,-0.675,3251375104,0.205
SHSE.600741_2018q4,-1.3844,-2.6345,330681344,0.527
SHSE.601186_2018q4,0.5242,0.8117,-55765725184,0.36
SHSE.601236_2018q4,0,0,0,0
SZSE.000858_2018q4,0.4948,-0.483,4107948032,1.004
SHSE.601238_2018q4,-3.2027,-2.5009,-464859136,0.1
SHSE.601198_2018q4,-0.1692,1.5381,0,0.086
SHSE.600760_2018q4,4.1855,-297.8609,106845440,0.46
SZSE.000876_2018q4,-1.1331,-0.412,-1877190912,0.06
SHSE.600809_2018q4,-4.6836,-2.0116,403802112,0.2344
SHSE.600816_2018q4,-13.2107,-60.8923,0,-0.3395
SZSE.000938_2018q4,0.534,-3.8479,-124577792,0.372
SHSE.601318_2018q4,-0.2862,-3.8478,0,1.57
SHSE.601319_2018q4,-2.1549,-1.8142,0,0.03
SZSE.000895_2018q4,2.2375,-1.4346,-1835434752,0.3825
SZSE.002001_2018q4,-2.4271,-24.9361,-854828544,0.47
SZSE.000898_2018q4,-2.4643,-3.6541,662000128,0.152
SHSE.601328_2018q4,-0.6022,3.122,0,0.22
SZSE.002010_2018q4,2.2856,-41.4307,-3027667200,0.13
SZSE.000961_2018q4,2.3696,-26.4221,-11784081408,0.2496
SHSE.601336_2018q4,-3.506,0.1227,0,0.07
SZSE.002007_2018q4,1.7171,13.6499,342341120,0.4085
SHSE.600837_2018q4,0.3609,0.1872,0,0.14
SZSE.002008_2018q4,-5.8189,-1.6929,-512302080,0.66
SZSE.000963_2018q4,-2.2215,1.9988,-1590381568,0.3094
SHSE.601288_2018q4,-1.9874,-0.5521,0,0.08
SHSE.600795_2018q4,-5.6401,-70.4735,-30843858944,-0.067
SZSE.300347_2018q4,2.191,0.6694,-133960672,0.3084
SHSE.600900_2018q4,-1.2262,-2.7934,2333536256,0.2131
SHSE.601298_2018q4,0,0,0,0
SHSE.600848_2018q4,-14.8552,-181.5135,-1033641984,0.0878
SZSE.002024_2018q4,6.5061,-0.8084,9335316480,0.7792
SHSE.601360_2018q4,-0.5903,-4.4852,689217536,0.15
SZSE.002032_2018q4,2.0797,-1.9545,567116800,0.693
SZSE.300408_2018q4,0.5613,-14.4349,248330496,0.22
SZSE.300413_2018q4,-4.5018,-7.9865,-125378304,0.05
SZSE.002027_2018q4,-6.2694,-3.4708,-19583488,0.0723
SHSE.600867_2018q4,-1.3766,-2.6289,-252531968,0.08
SZSE.002044_2018q4,3.9186,-8.4016,-157365184,0.13
SHSE.600919_2018q4,-0.8526,2.4031,0,0.15
SZSE.002050_2018q4,-1.1172,-1.8637,75960832,0.13
SZSE.300433_2018q4,-4.8295,-8.7071,-2104213248,-0.11
SHSE.600926_2018q4,-1.2579,-4.1126,0,0.09
SHSE.601377_2018q4,-2.4975,-0.0564,0,-0.0898
SHSE.600928_2018q4,0,0,0,0
SHSE.601390_2018q4,-0.2391,1.8173,-28276084736,0.156
SHSE.600886_2018q4,-1.4981,4.4784,-6576112640,0.0958
SHSE.600887_2018q4,-1.8318,0.012,-282951680,0.23
SHSE.600893_2018q4,0.7331,-4.1148,-777802240,0.18
SZSE.002120_2018q4,-0.7345,3.5341,-627837696,0.41
SHSE.601398_2018q4,-1.2413,-1.1963,0,0.15
SZSE.002081_2018q4,-0.2923,1.6417,-100874240,0.2006
SHSE.600958_2018q4,0.0428,4.8275,0,0.05
SZSE.002142_2018q4,-1.848,0.1628,0,0.39
SHSE.600968_2018q4,0,0,0,0
SZSE.002146_2018q4,7.3377,4.7508,768503808,0.88
SZSE.002202_2018q4,-0.2703,9.5742,-1386109696,0.2191
SZSE.002153_2018q4,0.6331,3.2941,-70372352,0.13
SHSE.600977_2018q4,-2.3329,-3.0686,-383261184,0.106
SHSE.600989_2018q4,0,0,0,0
SHSE.601600_2018q4,-2.5403,9.8277,-5913697280,-0.04
SHSE.601601_2018q4,0.4654,-1.04,0,0.59
SZSE.300498_2018q4,0.0936,-1.2787,337340416,0.2026
SHSE.600998_2018q4,1.9715,0.7892,544846848,0.31
SHSE.600999_2018q4,0.4635,2.9799,0,0.1708
SZSE.002230_2018q4,3.1129,-10.5896,46174720,0.16
SHSE.601555_2018q4,0.5078,21.7573,0,0.06
SHSE.601607_2018q4,-1.7632,2.8286,7102763008,0.1781
SZSE.002179_2018q4,-0.0273,-5.4866,1283058176,0.3277
SZSE.002241_2018q4,-1.7672,3.507,-1844984160,0.01
SZSE.002236_2018q4,2.886,-2.6282,534831104,0.33
