id,label,roe_change,tagrt_change,workcap_change,eps_change
SHSE.600221_201905,0,16.453,-2.2673,2593521664,0.2978
SHSE.600221_201906,0,16.453,-2.2673,2593521664,0.2978
SHSE.600221_201907,0,-7.2487,-4.4975,-555339776,-0.0378
SHSE.600221_201908,0,-7.2487,-4.4975,-555339776,-0.0378
SHSE.600221_201909,0,-7.2487,-4.4975,-555339776,-0.0378
SHSE.600221_201910,0,-0.3946,1.5211,1881358336,0.006
SHSE.600221_201911,0,-0.3946,1.5211,1881358336,0.006
SHSE.600221_201912,0,-0.3946,1.5211,1881358336,0.006
SHSE.600221_202001,0,-0.3946,1.5211,1881358336,0.006
SHSE.600221_202002,0,-0.3946,1.5211,1881358336,0.006
SHSE.600221_202003,0,-0.3946,1.5211,1881358336,0.006
SZSE.000338_201901,0,1.1876,-0.8739,-2466529280,0.33
SZSE.000338_201902,0,1.1876,-0.8739,-2466529280,0.33
SZSE.000338_201903,0,1.1876,-0.8739,-2466529280,0.33
SZSE.000338_201904,0,2.2296,10.2291,727248896,-0.75
SZSE.000338_201905,0,2.2296,10.2291,727248896,-0.75
SZSE.000338_201906,0,2.2296,10.2291,727248896,-0.75
SZSE.000338_201907,0,0.4246,-4.8479,-116439040,0.34
SZSE.000338_201908,0,0.4246,-4.8479,-116439040,0.34
SZSE.000338_201909,0,0.4246,-4.8479,-116439040,0.34
SZSE.000338_201910,0,-2.9789,-3.2383,849405952,0.22
SZSE.000338_201911,0,-2.9789,-3.2383,849405952,0.22
SZSE.000338_201912,0,-2.9789,-3.2383,849405952,0.22
SZSE.000338_202001,0,-1.3597,2.2707,-840218624,0.26
SZSE.000338_202002,0,-1.3597,2.2707,-840218624,0.26
SZSE.000338_202003,0,-1.3597,2.2707,-840218624,0.26
SHSE.600219_201901,0,-1.5566,-6.5611,4273234944,0
SHSE.600219_201902,0,-1.5566,-6.5611,4273234944,0
SHSE.600219_201903,0,-1.5566,-6.5611,4273234944,0
SHSE.600219_201904,0,-1.4064,-10.9225,80364544,-0.13
SHSE.600219_201905,0,-1.4064,-10.9225,80364544,-0.13
SHSE.600219_201906,0,-1.4064,-10.9225,80364544,-0.13
SHSE.600219_201907,0,1.3595,1.4103,-19082240,0.04
SHSE.600219_201908,0,1.3595,1.4103,-19082240,0.04
SHSE.600219_201909,0,1.3595,1.4103,-19082240,0.04
SHSE.600219_201910,0,0.357,0.0304,362590208,0.05
SHSE.600219_201911,0,0.357,0.0304,362590208,0.05
SHSE.600219_201912,0,0.357,0.0304,362590208,0.05
SHSE.600219_202001,0,0.357,0.0304,362590208,0.05
SHSE.600219_202002,0,0.357,0.0304,362590208,0.05
SHSE.600219_202003,0,0.357,0.0304,362590208,0.05
SHSE.600176_201901,0,-1.7503,-2.5197,-1694004224,0.316
SHSE.600176_201902,0,-1.7503,-2.5197,-1694004224,0.316
SHSE.600176_201903,0,-1.7503,-2.5197,-1694004224,0.316
SHSE.600176_201904,0,-3.9906,-15.9015,751810560,-0.5354
SHSE.600176_201905,0,-3.9906,-15.9015,751810560,-0.5354
SHSE.600176_201906,0,-3.9906,-15.9015,751810560,-0.5354
SHSE.600176_201907,0,0.8598,0.8276,-213913088,0.1585
SHSE.600176_201908,0,0.8598,0.8276,-213913088,0.1585
SHSE.600176_201909,0,0.8598,0.8276,-213913088,0.1585
SHSE.600176_201910,0,-0.5884,0.5418,495649536,0.1413
SHSE.600176_201911,0,-0.5884,0.5418,495649536,0.1413
SHSE.600176_201912,0,-0.5884,0.5418,495649536,0.1413
SHSE.600176_202001,0,0.1749,3.1649,1510216960,0.1656
SHSE.600176_202002,0,0.1749,3.1649,1510216960,0.1656
SHSE.600176_202003,0,0.1749,3.1649,1510216960,0.1656
SHSE.600177_201901,0,1.5752,33.8334,3720382464,0.38
SHSE.600177_201902,0,1.5752,33.8334,3720382464,0.38
SHSE.600177_201903,0,1.5752,33.8334,3720382464,0.38
SHSE.600177_201904,0,-3.467,55.3809,854404864,-0.82
SHSE.600177_201905,0,-3.467,55.3809,854404864,-0.82
SHSE.600177_201906,0,-3.467,55.3809,854404864,-0.82
SHSE.600177_201907,0,3.9305,-25.5008,-1082162944,0.19
SHSE.600177_201908,0,3.9305,-25.5008,-1082162944,0.19
SHSE.600177_201909,0,3.9305,-25.5008,-1082162944,0.19
SHSE.600177_201910,0,0.4241,17.3359,344062976,0.22
SHSE.600177_201911,0,0.4241,17.3359,344062976,0.22
SHSE.600177_201912,0,0.4241,17.3359,344062976,0.22
SHSE.600177_202001,0,0.4241,17.3359,344062976,0.22
SHSE.600177_202002,0,0.4241,17.3359,344062976,0.22
SHSE.600177_202003,0,0.4241,17.3359,344062976,0.22
SHSE.600183_201901,0,-1.6454,-4.6697,80551680,0.09
SHSE.600183_201902,0,-1.6454,-4.6697,80551680,0.09
SHSE.600183_201903,0,-1.6454,-4.6697,80551680,0.09
SHSE.600183_201904,0,-0.9041,-14.7403,104004096,-0.35
SHSE.600183_201905,0,-0.9041,-14.7403,104004096,-0.35
SHSE.600183_201906,0,-0.9041,-14.7403,104004096,-0.35
SHSE.600183_201907,0,3.6295,6.1377,-323559168,0.18
SHSE.600183_201908,0,3.6295,6.1377,-323559168,0.18
SHSE.600183_201909,0,3.6295,6.1377,-323559168,0.18
